date,game_id,home,away,stadium,inning,top_bottom,half,batting_team,fielding_team,atbat_index,atbat_no,batter,batter_id,batter_key,bat_hand,pitcher,pitcher_id,pitcher_key,pit_hand,outs,r1,r2,r3,risp,pitches,result,out_type,direction,pa,ab,hit,single,double,triple,hr,bb,ibb,hbp,so,sf,sh,gidp,error,rbi
2026-06-30,2021039068,巨人,ヤクルト,弘前,1,表,1表,ヤクルト,巨人,0110100,1,武岡 龍世,1900029,p1900029,左打,戸郷 翔征,1800028,p1800028,右投,0,False,False,False,False,2,一エラー,失策,一,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2026-06-30,2021039068,巨人,ヤクルト,弘前,1,表,1表,ヤクルト,巨人,0110200,2,増田 珠,1700131,p1700131,右打,戸郷 翔征,1800028,p1800028,右投,0,True,False,False,False,5,投安打,,投,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
2026-06-30,2021039068,巨人,ヤクルト,弘前,1,表,1表,ヤクルト,巨人,0110300,3,長岡 秀樹,1900028,p1900028,左打,戸郷 翔征,1800028,p1800028,右投,1,True,True,False,True,4,左フライ,,左,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-06-30,2021039068,巨人,ヤクルト,弘前,1,表,1表,ヤクルト,巨人,0110400,4,サンタナ,2000135,p2000135,右打,戸郷 翔征,1800028,p1800028,右投,2,True,True,False,True,3,右フライ,,右,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-06-30,2021039068,巨人,ヤクルト,弘前,1,表,1表,ヤクルト,巨人,0110500,5,岩田 幸宏,2103917,p2103917,左打,戸郷 翔征,1800028,p1800028,右投,3,True,True,False,True,1,三フライ,,三,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-06-30,2021039068,巨人,ヤクルト,弘前,1,裏,1裏,巨人,ヤクルト,0120100,6,浦田 俊輔,1951153,p1951153,左打,山野 太一,2000025,p2000025,左投,1,False,False,False,False,4,空振り三振,三振,,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2026-06-30,2021039068,巨人,ヤクルト,弘前,1,裏,1裏,巨人,ヤクルト,0120200,7,松本 剛,1100095,p1100095,右打,山野 太一,2000025,p2000025,左投,1,False,False,False,False,3,中安打,,中,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
2026-06-30,2021039068,巨人,ヤクルト,弘前,1,裏,1裏,巨人,ヤクルト,0120300,8,泉口 友汰,1750321,p1750321,左打,山野 太一,2000025,p2000025,左投,1,True,False,False,False,2,見逃し,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-06-30,2021039068,巨人,ヤクルト,弘前,1,裏,1裏,巨人,ヤクルト,0120400,9,ダルベック,1561820,p1561820,右打,山野 太一,2000025,p2000025,左投,2,True,True,False,True,7,見逃し三振,三振,,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2026-06-30,2021039068,巨人,ヤクルト,弘前,1,裏,1裏,巨人,ヤクルト,0120500,10,大城 卓三,1700044,p1700044,左打,山野 太一,2000025,p2000025,左投,3,True,True,False,True,6,遊ゴロ,ゴロ,遊,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-06-30,2021039068,巨人,ヤクルト,弘前,2,表,2表,ヤクルト,巨人,0210100,11,オスナ,2000133,p2000133,右打,戸郷 翔征,1800028,p1800028,右投,1,False,False,False,False,4,右フライ,,右,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-06-30,2021039068,巨人,ヤクルト,弘前,2,表,2表,ヤクルト,巨人,0210200,12,古賀 優大,1600078,p1600078,右打,戸郷 翔征,1800028,p1800028,右投,1,False,False,False,False,5,死球,,,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
