date,game_id,stadium,team,opponent,is_home,player,player_id,player_key,order,position,is_starter,sub_type,season_avg,ab,runs,hits,rbi,so,bb,hbp,sac,sb,errors,hr
2026-05-31,2021038939,エスコンF,巨人,日本ハム,False,泉口 友汰,1750321,p1750321,1,遊,True,,0.194,3,0,0,0,0,1,0,0,0,0,0
2026-05-31,2021038939,エスコンF,巨人,日本ハム,False,浦田 俊輔,1951153,p1951153,2,三,True,,0.238,2,0,0,0,0,0,1,0,0,0,0
2026-05-31,2021038939,エスコンF,巨人,日本ハム,False,坂本 勇人,700003,p700003,2,打三,False,代打,0.169,1,0,0,0,0,0,0,0,0,0,0
2026-05-31,2021038939,エスコンF,巨人,日本ハム,False,吉川 尚輝,1600059,p1600059,3,二,True,,0.22,4,0,1,0,0,0,0,0,0,0,0
2026-05-31,2021038939,エスコンF,巨人,日本ハム,False,ダルベック,1561820,p1561820,4,一,True,,0.254,2,0,0,0,2,2,0,0,0,0,0
2026-05-31,2021038939,エスコンF,巨人,日本ハム,False,岸田 行倫,1700043,p1700043,5,捕,True,,0.292,3,0,1,0,0,1,0,0,0,0,0
2026-05-31,2021038939,エスコンF,巨人,日本ハム,False,キャベッジ,2118420,p2118420,6,指,True,,0.27,4,0,1,0,3,0,0,0,0,0,0
2026-05-31,2021038939,エスコンF,巨人,日本ハム,False,中山 礼都,2000007,p2000007,7,右,True,,0.129,3,0,0,0,1,0,0,0,0,0,0
2026-05-31,2021038939,エスコンF,巨人,日本ハム,False,丸 佳浩,800043,p800043,7,打,False,代打,0.189,1,0,1,0,0,0,0,0,0,0,0
2026-05-31,2021038939,エスコンF,巨人,日本ハム,False,松本 剛,1100095,p1100095,8,左,True,,0.232,4,0,1,0,0,0,0,0,0,0,0
2026-05-31,2021038939,エスコンF,巨人,日本ハム,False,佐々木 俊輔,2106178,p2106178,9,中,True,,0.246,4,0,1,0,2,0,0,0,0,0,0
2026-05-31,2021038939,エスコンF,日本ハム,巨人,True,水野 達稀,1851204,p1851204,1,遊,True,,0.287,4,1,1,0,1,0,0,0,1,0,0
2026-05-31,2021038939,エスコンF,日本ハム,巨人,True,郡司 裕也,1900040,p1900040,2,三,True,,0.23,4,0,1,2,2,0,0,0,0,0,0
2026-05-31,2021038939,エスコンF,日本ハム,巨人,True,山縣 秀,2114529,p2114529,2,三,False,守備,0.0,0,0,0,0,0,0,0,0,0,0,0
2026-05-31,2021038939,エスコンF,日本ハム,巨人,True,レイエス,1860140,p1860140,3,指,True,,0.299,2,0,0,0,1,1,0,0,0,0,0
2026-05-31,2021038939,エスコンF,日本ハム,巨人,True,カストロ,2108090,p2108090,4,中左,True,,0.248,3,0,0,0,0,0,0,0,0,0,0
2026-05-31,2021038939,エスコンF,日本ハム,巨人,True,矢澤 宏太,2106284,p2106284,4,左,False,守備,0.208,0,0,0,0,0,0,0,0,0,0,0
2026-05-31,2021038939,エスコンF,日本ハム,巨人,True,万波 中正,1800093,p1800093,5,右,True,,0.243,3,1,1,1,1,0,0,0,0,0,1
2026-05-31,2021038939,エスコンF,日本ハム,巨人,True,清宮 幸太郎,1700025,p1700025,6,一,True,,0.232,3,0,0,0,1,0,0,0,0,0,0
2026-05-31,2021038939,エスコンF,日本ハム,巨人,True,野村 佑希,1800091,p1800091,7,左,True,,0.235,3,0,0,0,2,0,0,0,0,0,0
2026-05-31,2021038939,エスコンF,日本ハム,巨人,True,五十幡 亮汰,2000080,p2000080,7,中,False,守備,0.229,0,0,0,0,0,0,0,0,0,0,0
2026-05-31,2021038939,エスコンF,日本ハム,巨人,True,進藤 勇也,1950486,p1950486,8,捕,True,,0.138,3,0,0,0,1,0,0,0,0,0,0
2026-05-31,2021038939,エスコンF,日本ハム,巨人,True,奈良間 大己,1850932,p1850932,9,二,True,,0.247,3,1,1,0,1,0,0,0,0,0,0
2026-05-31,2021038940,楽天モバイル,ヤクルト,楽天,False,長岡 秀樹,1900028,p1900028,1,遊,True,,0.279,4,0,1,0,1,0,0,0,0,0,0
2026-05-31,2021038940,楽天モバイル,ヤクルト,楽天,False,伊藤 琉偉,2112175,p2112175,1,走遊,False,代走,0.155,0,0,0,0,0,0,0,0,0,0,0
2026-05-31,2021038940,楽天モバイル,ヤクルト,楽天,False,サンタナ,2000135,p2000135,2,指,True,,0.277,4,1,2,0,1,0,0,0,0,0,0
2026-05-31,2021038940,楽天モバイル,ヤクルト,楽天,False,鈴木 叶,2109495,p2109495,3,捕,True,,0.203,4,0,0,0,2,0,0,0,0,0,0
2026-05-31,2021038940,楽天モバイル,ヤクルト,楽天,False,オスナ,2000133,p2000133,4,一,True,,0.231,4,0,1,1,1,0,0,0,0,0,0
2026-05-31,2021038940,楽天モバイル,ヤクルト,楽天,False,塩見 泰隆,1700087,p1700087,5,右,True,,0.286,3,0,0,0,0,0,0,0,0,0,0
2026-05-31,2021038940,楽天モバイル,ヤクルト,楽天,False,岩田 幸宏,2103917,p2103917,5,中,False,守備,0.261,1,0,0,0,0,0,0,0,0,0,0
2026-05-31,2021038940,楽天モバイル,ヤクルト,楽天,False,増田 珠,1700131,p1700131,6,左,True,,0.271,3,0,0,0,0,1,0,0,0,0,0
2026-05-31,2021038940,楽天モバイル,ヤクルト,楽天,False,内山 壮真,2000026,p2000026,7,二,True,,0.239,3,1,0,0,1,1,0,0,0,0,0
2026-05-31,2021038940,楽天モバイル,ヤクルト,楽天,False,武岡 龍世,1900029,p1900029,8,三,True,,0.245,4,0,1,0,1,0,0,0,0,0,0
2026-05-31,2021038940,楽天モバイル,ヤクルト,楽天,False,モンテル,2107178,p2107178,9,中右,True,,0.533,2,0,1,1,0,1,0,0,0,0,0
2026-05-31,2021038940,楽天モバイル,楽天,ヤクルト,True,平良 竜哉,2105283,p2105283,1,三,True,,0.275,4,0,0,0,0,0,0,0,0,0,0
2026-05-31,2021038940,楽天モバイル,楽天,ヤクルト,True,中島 大輔,1950278,p1950278,2,左,True,,0.216,4,0,0,0,0,0,0,0,0,0,0
2026-05-31,2021038940,楽天モバイル,楽天,ヤクルト,True,辰己 涼介,1800117,p1800117,3,中,True,,0.299,4,1,1,0,1,0,0,0,0,0,0
2026-05-31,2021038940,楽天モバイル,楽天,ヤクルト,True,浅村 栄斗,900056,p900056,4,一,True,,0.26,4,0,2,1,0,0,0,0,0,0,0
2026-05-31,2021038940,楽天モバイル,楽天,ヤクルト,True,小深田 大翔,1900112,p1900112,4,走,False,代走,0.196,0,0,0,0,0,0,0,0,0,0,0
2026-05-31,2021038940,楽天モバイル,楽天,ヤクルト,True,村林 一輝,1600007,p1600007,5,遊,True,,0.296,4,0,1,0,1,0,0,0,0,0,0
2026-05-31,2021038940,楽天モバイル,楽天,ヤクルト,True,黒川 史陽,1900113,p1900113,6,二,True,,0.251,3,0,0,0,1,0,0,0,0,0,0
2026-05-31,2021038940,楽天モバイル,楽天,ヤクルト,True,マッカスカー,2122300,p2122300,7,指,True,,0.195,3,0,0,0,1,0,0,0,0,0,0
2026-05-31,2021038940,楽天モバイル,楽天,ヤクルト,True,堀内 謙伍,1600004,p1600004,8,捕,True,,0.0,3,0,0,0,2,0,0,0,0,0,0
2026-05-31,2021038940,楽天モバイル,楽天,ヤクルト,True,佐藤 直樹,1900100,p1900100,9,右,True,,0.283,3,0,3,0,0,0,0,0,1,0,0
2026-05-31,2021038941,ベルーナドーム,DeNA,西武,False,蝦名 達夫,1900035,p1900035,1,中右,True,,0.255,5,0,3,1,0,0,0,0,0,0,0
2026-05-31,2021038941,ベルーナドーム,DeNA,西武,False,度会 隆輝,1850873,p1850873,2,右左,True,,0.299,5,1,0,0,0,0,0,0,0,0,0
2026-05-31,2021038941,ベルーナドーム,DeNA,西武,False,佐野 恵太,1600089,p1600089,3,一,True,,0.265,4,0,2,1,0,1,0,0,0,0,0
2026-05-31,2021038941,ベルーナドーム,DeNA,西武,False,宮﨑 敏郎,1200053,p1200053,4,指,True,,0.266,3,1,1,1,0,1,0,0,0,0,1
2026-05-31,2021038941,ベルーナドーム,DeNA,西武,False,筒香 嘉智,1000002,p1000002,5,三,True,,0.216,3,1,0,1,0,1,0,0,0,0,0
2026-05-31,2021038941,ベルーナドーム,DeNA,西武,False,柴田 竜拓,1500063,p1500063,5,三,False,守備,0.167,0,0,0,0,0,0,0,0,0,0,0
2026-05-31,2021038941,ベルーナドーム,DeNA,西武,False,勝又 温史,1800046,p1800046,6,左,True,,0.325,4,1,1,0,1,0,0,0,0,0,0
2026-05-31,2021038941,ベルーナドーム,DeNA,西武,False,神里 和毅,1700059,p1700059,6,中,False,守備,0.091,0,0,0,0,0,0,0,0,0,0,0
2026-05-31,2021038941,ベルーナドーム,DeNA,西武,False,石上 泰輝,2112189,p2112189,7,遊,True,,0.179,3,0,0,0,1,0,0,1,0,0,0
2026-05-31,2021038941,ベルーナドーム,DeNA,西武,False,松尾 汐恩,2100277,p2100277,8,捕,True,,0.266,4,0,2,1,0,0,0,0,0,0,0
2026-05-31,2021038941,ベルーナドーム,DeNA,西武,False,三森 大貴,1600167,p1600167,9,二,True,,0.247,3,2,2,1,0,0,0,0,1,0,0
2026-05-31,2021038941,ベルーナドーム,西武,DeNA,True,カナリオ,2117028,p2117028,1,右,True,,0.274,4,0,0,0,1,0,0,0,0,0,0
2026-05-31,2021038941,ベルーナドーム,西武,DeNA,True,滝澤 夏央,2103618,p2103618,2,遊,True,,0.291,4,0,1,0,1,0,0,0,1,0,0
2026-05-31,2021038941,ベルーナドーム,西武,DeNA,True,桑原 将志,1100061,p1100061,3,左,True,,0.296,4,0,0,0,3,0,0,0,0,0,0
2026-05-31,2021038941,ベルーナドーム,西武,DeNA,True,ネビン,2101047,p2101047,4,一,True,,0.341,4,0,0,0,0,0,0,0,0,0,0
2026-05-31,2021038941,ベルーナドーム,西武,DeNA,True,小島 大河,2050145,p2050145,5,指,True,,0.272,4,0,0,0,1,0,0,0,0,0,0
2026-05-31,2021038941,ベルーナドーム,西武,DeNA,True,古賀 悠斗,1750472,p1750472,6,捕,True,,0.356,3,0,1,0,1,1,0,0,0,0,0
2026-05-31,2021038941,ベルーナドーム,西武,DeNA,True,渡部 聖弥,1950417,p1950417,7,三,True,,0.244,2,0,1,0,1,0,1,0,0,0,0
