date,game_id,home,away,stadium,home_score,away_score,winner,state,win_pitcher,lose_pitcher,save_pitcher,atbat_count,pitch_count
2026-06-07,2021038975,巨人,ロッテ,東京ドーム,2,2,引分,試合終了,,,,93,360
2026-06-07,2021038976,ヤクルト,日本ハム,神宮,1,7,日本ハム,試合終了,北山,奥川,,69,248
2026-06-07,2021038977,DeNA,ソフトバンク,横浜,2,4,ソフトバンク,試合終了,伊藤,山﨑,杉山,102,407
2026-06-07,2021038978,中日,西武,バンテリンドーム,1,4,西武,試合終了,上田,齋藤,豆田,92,354
2026-06-07,2021038980,広島,オリックス,マツダスタジアム,5,2,広島,試合終了,岡本,宮國,森浦,72,262
2026-06-09,2021038981,日本ハム,DeNA,エスコンF,4,1,日本ハム,試合終了,伊藤,平良,,68,250
2026-06-09,2021038982,楽天,巨人,楽天モバイル,2,8,巨人,試合終了,則本,荘司,,79,294
2026-06-09,2021038983,西武,広島,ベルーナドーム,4,3,西武,試合終了,岩城,中﨑,,73,269
2026-06-09,2021038984,ロッテ,中日,ZOZOマリン,3,1,ロッテ,試合終了,ジャクソン,マラー,横山,66,259
2026-06-09,2021038985,オリックス,ヤクルト,京セラD大阪,4,3,オリックス,試合終了,権田,キハダ,,81,344
2026-06-09,2021038986,ソフトバンク,阪神,みずほPayPay,10,4,ソフトバンク,試合終了,大津,才木,,74,267
2026-06-10,2021038987,日本ハム,DeNA,エスコンF,4,2,日本ハム,試合終了,加藤貴,石田裕,柳川,68,267
2026-06-10,2021038988,楽天,巨人,楽天モバイル,0,7,巨人,試合終了,戸郷,古謝,,72,295
2026-06-10,2021038989,西武,広島,ベルーナドーム,5,4,西武,試合終了,佐藤隼,髙,,90,327
2026-06-10,2021038990,ロッテ,中日,ZOZOマリン,4,11,中日,試合終了,櫻井,毛利,,84,336
2026-06-10,2021038991,オリックス,ヤクルト,京セラD大阪,8,4,オリックス,試合終了,曽谷,高橋,,76,306
2026-06-10,2021038992,ソフトバンク,阪神,みずほPayPay,6,2,ソフトバンク,試合終了,松本晴,大竹,,75,305
2026-06-11,2021038993,日本ハム,DeNA,エスコンF,3,0,日本ハム,試合終了,孫,東,柳川,63,248
2026-06-11,2021038994,楽天,巨人,楽天モバイル,8,2,楽天,試合終了,瀧中,田中将,,76,279
2026-06-11,2021038995,西武,広島,ベルーナドーム,4,1,西武,試合終了,平良,ターノック,甲斐野,71,289
2026-06-11,2021038996,ロッテ,中日,ZOZOマリン,3,2,ロッテ,試合終了,澤田,伊藤,,82,320
2026-06-11,2021038997,オリックス,ヤクルト,京セラD大阪,4,2,オリックス,試合終了,エスピノーザ,下川,マチャド,68,246
2026-06-11,2021038998,ソフトバンク,阪神,みずほPayPay,3,2,ソフトバンク,試合終了,木村光,畠,杉山,71,264
2026-06-12,2021038999,日本ハム,中日,エスコンF,3,1,日本ハム,試合終了,細野,柳,島本,71,293
2026-06-12,2021039000,楽天,広島,楽天モバイル,2,1,楽天,試合終了,岸,玉村,藤平,70,256
2026-06-12,2021039001,西武,巨人,ベルーナドーム,3,0,西武,試合終了,髙橋光成,竹丸,甲斐野,62,244
2026-06-12,2021039002,ロッテ,DeNA,ZOZOマリン,3,2,ロッテ,試合終了,鈴木,宮城,,68,248
2026-06-12,2021039003,オリックス,阪神,京セラD大阪,2,1,オリックス,試合終了,入山,村上,マチャド,67,284
2026-06-12,2021039004,ソフトバンク,ヤクルト,みずほPayPay,2,4,ヤクルト,試合終了,吉村,前田純,キハダ,71,264
2026-06-13,2021039005,日本ハム,中日,エスコンF,4,3,日本ハム,試合終了,堀,草加,,76,283
2026-06-13,2021039006,楽天,広島,楽天モバイル,0,2,広島,試合終了,森下,早川,,72,266
2026-06-13,2021039007,西武,巨人,ベルーナドーム,1,2,巨人,試合終了,ウィットリー,隅田,マルティネス,65,231
2026-06-13,2021039008,ロッテ,DeNA,ZOZOマリン,6,16,DeNA,試合終了,篠木,田中,,91,350
2026-06-13,2021039009,オリックス,阪神,京セラD大阪,3,6,阪神,試合終了,髙橋,ジェリー,ドリス,76,278
2026-06-13,2021039010,ソフトバンク,ヤクルト,みずほPayPay,8,1,ソフトバンク,試合終了,前田悠,山野,,72,309
2026-06-14,2021039011,日本ハム,中日,エスコンF,5,9,中日,試合終了,藤嶋,福谷,,84,310
2026-06-14,2021039012,楽天,広島,楽天モバイル,0,3,広島,試合終了,岡本,藤井,森浦,67,261
2026-06-14,2021039013,西武,巨人,ベルーナドーム,1,0,西武,試合終了,ワイナンス,井上,甲斐野,64,248
2026-06-14,2021039014,ロッテ,DeNA,ZOZOマリン,6,4,ロッテ,試合終了,小野,尾形,横山,76,307
2026-06-14,2021039015,オリックス,阪神,京セラD大阪,3,2,オリックス,試合終了,吉田,ドリス,,84,296
2026-06-14,2021039016,ソフトバンク,ヤクルト,みずほPayPay,0,4,ヤクルト,試合終了,奥川,アルメンタ,,69,241
2026-06-16,2021044685,阪神,西武,甲子園,0,1,西武,試合終了,武内,才木,甲斐野,72,292
