date,game_id,stadium,team,opponent,is_home,player,player_id,player_key,decision,is_starter,season_era,innings,outs,pitches,batters_faced,hits_allowed,hr_allowed,so,bb,hbp,balk,runs_allowed,earned_runs,is_qs
2026-03-27,2021038622,東京ドーム,阪神,巨人,False,村上 頌樹,2000055,p2000055,敗,True,4.5,6,18,101,23,5,2,7,2,0,0,3,3,True
2026-03-27,2021038622,東京ドーム,阪神,巨人,False,桐敷 拓馬,2103707,p2103707,,False,0.0,1,3,11,3,0,0,0,0,0,0,0,0,False
2026-03-27,2021038622,東京ドーム,阪神,巨人,False,湯浅 京己,1800070,p1800070,,False,0.0,1,3,11,3,1,0,0,0,0,0,0,0,False
2026-03-27,2021038622,東京ドーム,巨人,阪神,True,竹丸 和幸,2118993,p2118993,勝,True,1.5,6,18,79,22,3,0,5,2,0,0,1,1,True
2026-03-27,2021038622,東京ドーム,巨人,阪神,True,船迫 大雅,1450689,p1450689,H,False,0.0,1,3,14,4,0,0,0,0,1,0,0,0,False
2026-03-27,2021038622,東京ドーム,巨人,阪神,True,北浦 竜次,1700029,p1700029,H,False,0.0,1,3,11,3,0,0,1,0,0,0,0,0,False
2026-03-27,2021038622,東京ドーム,巨人,阪神,True,田中 瑛斗,1700027,p1700027,Ｓ,False,0.0,1,3,5,3,1,0,0,0,0,0,0,0,False
2026-03-27,2021038623,横浜,ヤクルト,DeNA,False,吉村 貢司郎,2103794,p2103794,勝,True,3.38,5.1,16,93,21,5,1,7,0,0,0,2,2,False
2026-03-27,2021038623,横浜,ヤクルト,DeNA,False,大西 広樹,1900027,p1900027,H,False,0.0,0.2,2,3,2,0,0,0,0,0,0,0,0,False
2026-03-27,2021038623,横浜,ヤクルト,DeNA,False,木澤 尚文,2000024,p2000024,H,False,0.0,1,3,16,3,0,0,1,0,1,0,0,0,False
2026-03-27,2021038623,横浜,ヤクルト,DeNA,False,星 知弥,1600075,p1600075,H,False,0.0,1,3,22,5,1,0,0,1,0,0,0,0,False
2026-03-27,2021038623,横浜,ヤクルト,DeNA,False,キハダ,1961046,p1961046,Ｓ,False,0.0,1,3,14,4,0,0,2,1,0,0,0,0,False
2026-03-27,2021038623,横浜,DeNA,ヤクルト,True,東 克樹,1700058,p1700058,敗,True,4.5,6,18,100,26,4,2,7,4,0,0,3,3,True
2026-03-27,2021038623,横浜,DeNA,ヤクルト,True,ルイーズ,1860235,p1860235,,False,0.0,1,3,20,5,2,0,1,0,0,0,0,0,False
2026-03-27,2021038623,横浜,DeNA,ヤクルト,True,坂本 裕哉,1900031,p1900031,,False,0.0,1,3,17,4,1,0,0,0,0,0,0,0,False
2026-03-27,2021038623,横浜,DeNA,ヤクルト,True,宮城 滝太,1800049,p1800049,,False,0.0,1,3,16,5,2,0,2,0,0,0,0,0,False
2026-03-27,2021038624,マツダスタジアム,中日,広島,False,柳 裕也,1600106,p1600106,,True,1.5,6,18,91,25,6,0,5,1,0,0,1,1,True
2026-03-27,2021038624,マツダスタジアム,中日,広島,False,橋本 侑樹,1900038,p1900038,H,False,0.0,1,3,14,3,0,0,2,0,0,0,0,0,False
2026-03-27,2021038624,マツダスタジアム,中日,広島,False,メヒア,1660558,p1660558,H,False,0.0,1,3,12,3,0,0,0,0,0,0,0,0,False
2026-03-27,2021038624,マツダスタジアム,中日,広島,False,アブレウ,2060049,p2060049,,False,108.0,0.1,1,24,6,4,0,0,1,0,0,4,4,False
2026-03-27,2021038624,マツダスタジアム,中日,広島,False,藤嶋 健人,1600110,p1600110,H,False,0.0,0.2,2,9,2,0,0,0,0,0,0,0,0,False
2026-03-27,2021038624,マツダスタジアム,中日,広島,False,勝野 昌慶,1800061,p1800061,敗,False,13.5,0.2,2,13,5,1,0,0,2,0,0,1,1,False
2026-03-27,2021038624,マツダスタジアム,広島,中日,True,床田 寛樹,1600123,p1600123,,True,3.6,5,15,97,24,9,0,5,0,0,0,2,2,False
2026-03-27,2021038624,マツダスタジアム,広島,中日,True,齊藤 汰直,2119338,p2119338,,False,0.0,1,3,14,4,1,0,0,0,0,0,0,0,False
2026-03-27,2021038624,マツダスタジアム,広島,中日,True,中﨑 翔太,1000116,p1000116,,False,0.0,1,3,28,5,1,0,3,0,1,0,0,0,False
2026-03-27,2021038624,マツダスタジアム,広島,中日,True,ハーン,1960397,p1960397,,False,0.0,1,3,11,5,1,0,1,1,0,0,0,0,False
2026-03-27,2021038624,マツダスタジアム,広島,中日,True,赤木 晴哉,2114641,p2114641,,False,81.0,0.1,1,29,6,4,0,0,1,0,0,3,3,False
2026-03-27,2021038624,マツダスタジアム,広島,中日,True,辻 大雅,2106037,p2106037,,False,0.0,0.2,2,16,3,0,0,1,1,0,0,0,0,False
2026-03-27,2021038624,マツダスタジアム,広島,中日,True,森浦 大輔,2000061,p2000061,勝,False,0.0,1,3,8,4,1,0,0,0,0,0,0,0,False
2026-03-27,2021038625,ZOZOマリン,西武,ロッテ,False,渡邉 勇太朗,1800081,p1800081,敗,True,2.57,7,21,112,28,6,0,6,2,0,0,2,2,True
2026-03-27,2021038625,ZOZOマリン,西武,ロッテ,False,糸川 亮太,2105503,p2105503,,False,9.0,1,3,17,4,1,1,1,0,0,0,1,1,False
2026-03-27,2021038625,ZOZOマリン,ロッテ,西武,True,毛利 海大,2100442,p2100442,勝,True,0.0,5,15,70,19,4,0,2,1,0,0,0,0,False
2026-03-27,2021038625,ZOZOマリン,ロッテ,西武,True,高野 脩汰,2105534,p2105534,H,False,0.0,1,3,11,3,0,0,2,0,0,0,0,0,False
2026-03-27,2021038625,ZOZOマリン,ロッテ,西武,True,ロング,2101204,p2101204,H,False,0.0,1,3,14,5,2,0,0,0,0,0,1,0,False
2026-03-27,2021038625,ZOZOマリン,ロッテ,西武,True,鈴木 昭汰,2000087,p2000087,H,False,0.0,1,3,8,3,1,0,0,0,0,0,0,0,False
2026-03-27,2021038625,ZOZOマリン,ロッテ,西武,True,横山 陸人,1900083,p1900083,Ｓ,False,0.0,1,3,13,3,0,0,2,0,0,0,0,0,False
2026-03-27,2021038626,京セラD大阪,楽天,オリックス,False,荘司 康誠,2106793,p2106793,勝,True,0.0,8,24,105,28,4,0,9,0,0,0,0,0,True
2026-03-27,2021038626,京セラD大阪,楽天,オリックス,False,九谷 瑠,2121018,p2121018,,False,0.0,1,3,16,4,0,0,0,1,0,0,0,0,False
2026-03-27,2021038626,京セラD大阪,オリックス,楽天,True,宮城 大弥,1900087,p1900087,敗,True,10.8,1.2,5,56,15,8,0,2,1,0,0,8,2,False
2026-03-27,2021038626,京セラD大阪,オリックス,楽天,True,東松 快征,2111998,p2111998,,False,0.0,0.1,1,18,3,0,0,1,2,0,0,0,0,False
2026-03-27,2021038626,京セラD大阪,オリックス,楽天,True,寺西 成騎,1851026,p1851026,,False,3.0,6,18,84,23,6,0,4,0,0,0,2,2,False
2026-03-27,2021038626,京セラD大阪,オリックス,楽天,True,横山 楓,2103793,p2103793,,False,0.0,1,3,21,5,2,0,1,0,0,0,0,0,False
2026-03-27,2021038627,みずほPayPay,日本ハム,ソフトバンク,False,伊藤 大海,2000079,p2000079,,True,7.94,5.2,17,90,27,9,3,4,0,0,0,5,5,False
2026-03-27,2021038627,みずほPayPay,日本ハム,ソフトバンク,False,上原 健太,1500109,p1500109,,False,0.0,1.1,4,18,5,0,0,2,1,0,0,0,0,False
2026-03-27,2021038627,みずほPayPay,日本ハム,ソフトバンク,False,古林 睿煬,2100554,p2100554,敗,False,13.5,0.2,2,24,6,2,0,1,2,0,0,1,1,False
2026-03-27,2021038627,みずほPayPay,日本ハム,ソフトバンク,False,島本 浩也,1000164,p1000164,,False,0.0,0.1,1,3,1,0,0,0,0,0,0,0,0,False
2026-03-27,2021038627,みずほPayPay,ソフトバンク,日本ハム,True,上沢 直之,1100099,p1100099,,True,3.6,5,15,90,23,6,2,5,0,1,0,4,2,False
2026-03-27,2021038627,みずほPayPay,ソフトバンク,日本ハム,True,木村 光,1851115,p1851115,H,False,0.0,1,3,9,3,0,0,0,0,0,0,0,0,False
2026-03-27,2021038627,みずほPayPay,ソフトバンク,日本ハム,True,ヘルナンデス,1961052,p1961052,,False,9.0,1,3,17,5,2,1,2,0,0,0,1,1,False
2026-03-27,2021038627,みずほPayPay,ソフトバンク,日本ハム,True,松本 裕樹,1400126,p1400126,勝,False,0.0,1,3,15,4,1,0,0,0,0,0,0,0,False
2026-03-27,2021038627,みずほPayPay,ソフトバンク,日本ハム,True,杉山 一樹,1800107,p1800107,Ｓ,False,0.0,1,3,17,4,0,0,1,0,0,0,0,0,False
2026-03-28,2021038628,東京ドーム,阪神,巨人,False,髙橋 遥人,1700078,p1700078,勝,True,0.0,9,27,112,32,3,0,6,2,0,0,0,0,True
2026-03-28,2021038628,東京ドーム,巨人,阪神,True,ハワード,1961886,p1961886,敗,True,0.0,6,18,97,25,4,0,7,4,0,0,1,0,True
2026-03-28,2021038628,東京ドーム,巨人,阪神,True,ルシアーノ,1960444,p1960444,,False,0.0,1,3,16,3,0,0,2,0,0,0,0,0,False
2026-03-28,2021038628,東京ドーム,巨人,阪神,True,中川 皓太,1500052,p1500052,,False,9.0,1,3,20,7,3,0,1,0,0,0,1,1,False
2026-03-28,2021038628,東京ドーム,巨人,阪神,True,田和 廉,2118291,p2118291,,False,0.0,1,3,15,4,0,0,2,1,0,0,0,0,False
2026-03-28,2021038629,横浜,ヤクルト,DeNA,False,山野 太一,2000025,p2000025,勝,True,2.57,7,21,101,29,8,0,4,1,0,0,2,2,True
2026-03-28,2021038629,横浜,ヤクルト,DeNA,False,リランソ,2122334,p2122334,H,False,0.0,1,3,13,3,0,0,1,0,0,0,0,0,False
2026-03-28,2021038629,横浜,ヤクルト,DeNA,False,キハダ,1961046,p1961046,Ｓ,False,0.0,1,3,20,4,1,0,1,0,0,0,0,0,False
2026-03-28,2021038629,横浜,DeNA,ヤクルト,True,入江 大生,2000034,p2000034,敗,True,9.0,4,12,85,20,5,0,6,3,0,0,4,4,False
2026-03-28,2021038629,横浜,DeNA,ヤクルト,True,マルセリーノ,2105891,p2105891,,False,0.0,1,3,15,3,0,0,1,0,0,0,0,0,False
2026-03-28,2021038629,横浜,DeNA,ヤクルト,True,吉野 光樹,2105707,p2105707,,False,4.5,2,6,31,9,1,0,2,2,0,0,1,1,False
2026-03-28,2021038629,横浜,DeNA,ヤクルト,True,ルイーズ,1860235,p1860235,,False,0.0,1,3,12,3,0,0,1,0,0,0,0,0,False
2026-03-28,2021038629,横浜,DeNA,ヤクルト,True,中川 颯,2000099,p2000099,,False,0.0,1,3,14,5,3,0,0,0,0,0,0,0,False
2026-03-28,2021038630,マツダスタジアム,中日,広島,False,櫻井 頼之介,2100410,p2100410,,True,0.0,7,21,101,27,3,0,9,2,0,0,1,0,True
2026-03-28,2021038630,マツダスタジアム,中日,広島,False,牧野 憲伸,2107086,p2107086,敗,False,9.0,1,3,30,6,1,0,0,2,0,0,1,1,False
2026-03-28,2021038630,マツダスタジアム,広島,中日,True,ターノック,2108238,p2108238,,True,0.0,7,21,94,25,5,0,7,0,0,0,0,0,True
2026-03-28,2021038630,マツダスタジアム,広島,中日,True,島内 颯太郎,1800073,p1800073,,False,13.5,0.2,2,17,4,1,0,1,1,0,0,1,1,False
2026-03-28,2021038630,マツダスタジアム,広島,中日,True,ハーン,1960397,p1960397,勝,False,0.0,0.1,1,6,1,0,0,0,0,0,0,0,0,False
2026-03-28,2021038630,マツダスタジアム,広島,中日,True,森浦 大輔,2000061,p2000061,Ｓ,False,0.0,1,3,16,4,1,0,1,0,0,0,0,0,False
