date,game_id,inning,top_bottom,batting_team,player,player_id,player_key,event_type,event_sequence,run_value,result_detail,source
2026-03-27,2021038622,8,裏,巨人,キャベッジ,2118420,p2118420,caught_stealing,0820300,-0.4,145km/h ストレート、バント構え、盗塁失敗（キャベッジ）,result_detail_high_confidence
2026-03-27,2021038623,7,裏,DeNA,三森 大貴,1600167,p1600167,caught_stealing,0720300,-0.4,シュート、盗塁失敗（三森）,result_detail_high_confidence
2026-03-27,2021038624,,,中日,岡林 勇希,1900041,p1900041,stolen_base,1,0.2,,official_boxscore
2026-03-27,2021038624,,,中日,福永 裕基,2103780,p2103780,stolen_base,1,0.2,,official_boxscore
2026-03-27,2021038625,,,西武,長谷川 信哉,2000075,p2000075,stolen_base,1,0.2,,official_boxscore
2026-03-27,2021038626,3,表,楽天,辰己 涼介,1800117,p1800117,caught_stealing,0310400,-0.4,145km/h カットボール、盗塁失敗（辰己）,result_detail_high_confidence
2026-03-27,2021038627,,,日本ハム,矢澤 宏太,2106284,p2106284,stolen_base,1,0.2,,official_boxscore
2026-03-28,2021038628,,,阪神,中野 拓夢,2000056,p2000056,stolen_base,1,0.2,,official_boxscore
2026-03-28,2021038629,,,ヤクルト,岩田 幸宏,2103917,p2103917,stolen_base,1,0.2,,official_boxscore
2026-03-28,2021038629,,,DeNA,牧 秀悟,2000035,p2000035,stolen_base,1,0.2,,official_boxscore
2026-03-28,2021038629,,,DeNA,林 琢真,1850208,p1850208,stolen_base,1,0.2,,official_boxscore
2026-03-28,2021038629,5,裏,DeNA,牧 秀悟,2000035,p2000035,baserunning_out,0520400,-0.4,けん制飛び出し（牧）、盗塁成功（牧）、ランナー2塁,result_detail_high_confidence
2026-03-28,2021038630,,,中日,樋口 正修,2103947,p2103947,stolen_base,1,0.2,,official_boxscore
2026-03-28,2021038631,,,ロッテ,髙部 瑛斗,1900082,p1900082,stolen_base,1,0.2,,official_boxscore
2026-03-28,2021038631,,,ロッテ,髙部 瑛斗,1900082,p1900082,stolen_base,2,0.2,,official_boxscore
2026-03-28,2021038631,,,ロッテ,西川 史礁,1950286,p1950286,stolen_base,1,0.2,,official_boxscore
2026-03-28,2021038632,,,オリックス,宗 佑磨,1400196,p1400196,stolen_base,1,0.2,,official_boxscore
2026-03-28,2021038632,3,裏,オリックス,太田 椋,1800098,p1800098,baserunning_out,0320300,-0.4,スライダー、痛烈な当たり、野手の正面をつく、慌てて戻る（太田）,result_detail_high_confidence
2026-03-29,2021038634,,,阪神,髙寺 望夢,2000057,p2000057,stolen_base,1,0.2,,official_boxscore
2026-03-29,2021038634,,,阪神,坂本 誠志郎,1500087,p1500087,stolen_base,1,0.2,,official_boxscore
2026-03-29,2021038634,1,表,阪神,近本 光司,1800065,p1800065,caught_stealing,0110200,-0.4,145km/h ストレート、盗塁失敗（近本）,result_detail_high_confidence
2026-03-29,2021038636,6,裏,広島,小園 海斗,1800072,p1800072,caught_stealing,0620300,-0.4,ストレート、ヒットエンドラン、挟まれる（小園）、盗塁失敗（小園）,result_detail_high_confidence
2026-03-29,2021038637,,,西武,桑原 将志,1100061,p1100061,stolen_base,1,0.2,,official_boxscore
2026-03-29,2021038637,6,表,西武,小島 大河,2050145,p2050145,baserunning_out,0610500,-0.4,シュート、慌てて戻る（小島）,result_detail_high_confidence
2026-03-29,2021038638,,,オリックス,中川 圭太,1800104,p1800104,stolen_base,1,0.2,,official_boxscore
2026-03-29,2021038638,3,裏,オリックス,中川 圭太,1800104,p1800104,caught_stealing,0320300,-0.4,135km/h スプリット、盗塁失敗（中川）,result_detail_high_confidence
2026-03-29,2021038638,9,表,楽天,村林 一輝,1600007,p1600007,baserunning_out,0910200,-0.4,ツーシーム、走路をはみ出る（村林）、ランナー2塁,result_detail_high_confidence
2026-03-31,2021038640,,,ヤクルト,長岡 秀樹,1900028,p1900028,stolen_base,1,0.2,,official_boxscore
2026-03-31,2021038640,,,ヤクルト,岩田 幸宏,2103917,p2103917,stolen_base,1,0.2,,official_boxscore
2026-03-31,2021038641,,,巨人,松本 剛,1100095,p1100095,stolen_base,1,0.2,,official_boxscore
2026-03-31,2021038642,,,DeNA,度会 隆輝,1850873,p1850873,stolen_base,1,0.2,,official_boxscore
2026-03-31,2021038642,,,阪神,中野 拓夢,2000056,p2000056,stolen_base,1,0.2,,official_boxscore
2026-03-31,2021038642,8,裏,阪神,熊谷 敬宥,1700079,p1700079,baserunning_out,0820200,-0.4,148km/h ストレート、ランエンドヒット、慌てて戻る（熊谷）,result_detail_high_confidence
2026-03-31,2021038643,,,ロッテ,藤原 恭大,1800050,p1800050,stolen_base,1,0.2,,official_boxscore
2026-03-31,2021038644,,,ソフトバンク,周東 佑京,1700135,p1700135,stolen_base,1,0.2,,official_boxscore
2026-03-31,2021038644,,,楽天,辰己 涼介,1800117,p1800117,stolen_base,1,0.2,,official_boxscore
2026-03-31,2021038645,,,オリックス,西川 龍馬,1500096,p1500096,stolen_base,1,0.2,,official_boxscore
2026-03-31,2021038645,,,西武,西川 愛也,1700122,p1700122,stolen_base,1,0.2,,official_boxscore
2026-04-01,2021038647,6,表,巨人,門脇 誠,2107874,p2107874,caught_stealing,0610400,-0.4,140km/h ストレート、セーフティバント、バント空振り、盗塁失敗（門脇）,result_detail_high_confidence
2026-04-01,2021038649,,,日本ハム,矢澤 宏太,2106284,p2106284,stolen_base,1,0.2,,official_boxscore
2026-04-01,2021038649,,,日本ハム,カストロ,2108090,p2108090,stolen_base,1,0.2,,official_boxscore
2026-04-01,2021038650,1,裏,楽天,辰己 涼介,1800117,p1800117,caught_stealing,0120400,-0.4,ストレート、ランエンドヒット、盗塁失敗（辰己）,result_detail_high_confidence
2026-04-01,2021038650,3,裏,楽天,太田 光,1800118,p1800118,caught_stealing,0320300,-0.4,カーブ、ランエンドヒット、盗塁失敗（太田）,result_detail_high_confidence
2026-04-01,2021038651,1,表,オリックス,宗 佑磨,1400196,p1400196,caught_stealing,0110200,-0.4,144km/h フォーク、ランエンドヒット、送球がバウンド（小島）、リプレー検証後判定変わらず、盗塁失敗（宗）、オリックス・残り1回,result_detail_high_confidence
2026-04-01,2021038651,8,裏,西武,源田 壮亮,1600129,p1600129,baserunning_out,0820400,-0.4,"151km/h ツーシーム、３・本塁間タッチアウト（源田）、挟まれる（源田）、ランナー1,2塁",result_detail_high_confidence
2026-04-02,2021038652,,,ヤクルト,赤羽 由紘,2000031,p2000031,stolen_base,1,0.2,,official_boxscore
2026-04-02,2021038652,,,ヤクルト,岩田 幸宏,2103917,p2103917,stolen_base,1,0.2,,official_boxscore
2026-04-02,2021038652,,,ヤクルト,岩田 幸宏,2103917,p2103917,stolen_base,2,0.2,,official_boxscore
2026-04-02,2021038652,5,表,広島,菊池 涼介,1100082,p1100082,caught_stealing,0510400,-0.4,147km/h ストレート、ランエンドヒット、ヘッドスライディング（菊池）、リプレー検証後判定変わらず、盗塁失敗（菊池）、広島・残り1回,result_detail_high_confidence
2026-04-02,2021038653,3,表,巨人,山瀬 慎之助,1900020,p1900020,baserunning_out,0310200,-0.4,140km/h ストレート、２・３塁間タッチアウト（山瀬）、挟まれる（山瀬）、ランナー1塁,result_detail_high_confidence
2026-04-02,2021038653,4,裏,中日,田中 幹也,1750701,p1750701,caught_stealing,0420300,-0.4,134km/h フォーク、ランエンドヒット、盗塁失敗（田中）,result_detail_high_confidence
2026-04-02,2021038653,9,表,巨人,宇都宮 葵星,2107764,p2107764,baserunning_out,0910400,-0.4,145km/h ストレート、３・本塁間タッチアウト（宇都宮）、挟まれる（宇都宮）、ランナー2塁,result_detail_high_confidence
2026-04-02,2021038654,,,阪神,近本 光司,1800065,p1800065,stolen_base,1,0.2,,official_boxscore
2026-04-02,2021038654,1,表,DeNA,牧 秀悟,2000035,p2000035,caught_stealing,0110300,-0.4,ストレート、ランエンドヒット、盗塁失敗（牧）,result_detail_high_confidence
2026-04-02,2021038654,6,裏,阪神,木浪 聖也,1800067,p1800067,caught_stealing,0620200,-0.4,131km/h フォーク、バスターエンドラン、盗塁失敗（木浪）,result_detail_high_confidence
2026-04-02,2021038655,,,日本ハム,西川 遥輝,1000100,p1000100,stolen_base,1,0.2,,official_boxscore
