season,player_key,player_id,player,team,league,number,hand,qualified,games,innings,outs,batters_faced,pitches,hits_allowed,hr_allowed,so,bb,hbp,runs_allowed,earned_runs,wins,losses,saves,holds_official,holds_est,relief_wins,hp,era,fip,whip,k9,bb9,hr9,k_bb,k_pct,bb_pct,lob_pct_est,win_pct
2026,name:コックス,,コックス,DeNA,セ,,,False,2,9,27,37,131,10,2,7,2,0,3,3,1,0,0,0,0,0,0,3.0,4.89,1.33,7.0,2.0,2.0,3.5,0.189,0.054,0.978,1.0
2026,name:デュプランティエ,,デュプランティエ,DeNA,セ,,,False,2,9,27,40,159,8,0,6,5,0,4,3,0,2,0,0,0,0,0,3.0,3.22,1.44,6.0,5.0,0.0,1.2,0.15,0.125,0.692,0.0
2026,p2101360,2101360,ビド,DeNA,セ,42,右投,False,2,7,21,41,169,11,1,7,9,1,8,8,1,1,0,0,0,0,0,10.29,7.03,2.86,9.0,11.57,1.29,0.78,0.171,0.22,0.663,0.5
2026,p2105891,2105891,マルセリーノ,DeNA,セ,98,右投,False,26,28.1,85,136,554,34,3,30,14,4,16,16,1,1,0,5,5,1,6,5.08,4.05,1.69,9.53,4.45,0.95,2.14,0.221,0.103,0.753,0.5
2026,p1860235,1860235,ルイーズ,DeNA,セ,49,右投,False,33,29.2,89,126,478,25,2,23,11,1,12,12,1,0,0,13,13,1,14,3.64,3.43,1.21,6.98,3.34,0.61,2.09,0.183,0.087,0.731,1.0
2026,p2117433,2117433,レイノルズ,DeNA,セ,62,右投,False,44,46,138,180,800,25,2,65,13,2,7,6,2,0,8,26,26,2,28,1.17,1.61,0.83,12.72,2.54,0.39,5.0,0.361,0.072,0.887,1.0
2026,p1700067,1700067,中川 虎大,DeNA,セ,64,右投,False,34,33.1,100,134,559,25,3,49,13,0,10,10,4,4,0,17,17,4,21,2.7,2.29,1.14,13.23,3.51,0.81,3.77,0.366,0.097,0.828,0.5
2026,p2000099,2000099,中川 颯,DeNA,セ,53,右投,False,6,9.1,28,42,150,14,2,4,2,0,4,4,0,0,0,0,0,0,0,3.86,5.46,1.71,3.86,1.93,1.93,2.0,0.095,0.048,0.909,
2026,p1900032,1900032,伊勢 大夢,DeNA,セ,13,右投,False,33,30.2,92,130,549,31,3,33,11,0,10,10,2,2,0,14,14,2,16,2.93,3.09,1.37,9.68,3.23,0.88,3.0,0.254,0.085,0.847,0.5
2026,p2000034,2000034,入江 大生,DeNA,セ,22,右投,False,7,30,90,144,570,37,6,31,15,1,25,23,0,3,0,0,0,0,0,6.9,5.02,1.73,9.3,4.5,1.8,2.07,0.215,0.104,0.628,0.0
2026,p2105707,2105707,吉野 光樹,DeNA,セ,24,右投,False,17,17,51,78,285,18,2,15,8,1,8,7,0,1,0,3,4,0,4,3.71,4.24,1.53,7.94,4.24,1.06,1.88,0.192,0.103,0.785,0.0
2026,p1900031,1900031,坂本 裕哉,DeNA,セ,20,左投,False,28,25.2,77,119,424,27,4,20,12,1,14,9,0,1,0,4,4,0,4,3.16,4.88,1.52,7.01,4.21,1.4,1.67,0.168,0.101,0.756,0.0
2026,p1600072,1600072,堀岡 隼人,DeNA,セ,92,右投,False,6,8,24,37,144,9,1,7,4,0,7,7,0,0,0,0,0,0,0,7.88,4.27,1.62,7.88,4.5,1.12,1.75,0.189,0.108,0.517,
2026,p1800049,1800049,宮城 滝太,DeNA,セ,65,右投,False,30,28.2,86,119,446,26,3,28,8,1,11,11,0,3,0,5,6,0,6,3.45,3.24,1.19,8.79,2.51,0.94,3.5,0.235,0.067,0.779,0.0
2026,p1400109,1400109,山﨑 康晃,DeNA,セ,19,右投,False,23,20.2,62,92,398,20,3,22,10,2,15,14,0,3,14,2,2,0,2,6.1,4.39,1.45,9.58,4.35,1.31,2.2,0.239,0.109,0.612,0.0
2026,p2000059,2000059,岩田 将貴,DeNA,セ,68,左投,False,18,21.2,65,95,354,25,0,15,5,1,7,5,1,0,0,2,3,1,4,2.08,2.34,1.38,6.23,2.08,0.0,3.0,0.158,0.053,0.774,1.0
2026,p2101494,2101494,島田 舜也,DeNA,セ,15,右投,False,4,19.2,59,85,294,22,1,16,6,0,11,11,1,1,0,0,0,0,0,5.03,2.84,1.42,7.32,2.75,0.46,2.67,0.188,0.071,0.639,0.5
2026,p1300031,1300031,平良 拳太郎,DeNA,セ,59,右投,False,15,73.2,221,308,1270,69,7,73,15,5,30,28,4,6,0,0,0,0,0,3.42,2.96,1.14,8.92,1.83,0.86,4.87,0.237,0.049,0.745,0.4
2026,p2112149,2112149,庄司 陽斗,DeNA,セ,93,左投,False,1,5,15,20,69,5,1,3,1,0,4,4,0,1,0,0,0,0,0,7.2,4.89,1.2,5.4,1.8,1.8,3.0,0.15,0.05,0.435,0.0
2026,p1700058,1700058,東 克樹,DeNA,セ,11,左投,True,17,109,327,430,1580,91,9,84,18,4,39,33,8,5,0,0,0,0,0,2.72,3.03,1.0,6.94,1.49,0.74,4.67,0.195,0.042,0.737,0.615
2026,p2108557,2108557,松本 凌人,DeNA,セ,38,右投,False,11,9.1,28,36,151,3,0,11,4,0,1,1,0,0,0,4,4,0,4,0.96,1.82,0.75,10.61,3.86,0.0,2.75,0.306,0.111,0.857,
2026,p1500063,1500063,柴田 竜拓,DeNA,セ,31,左打,False,1,0.1,1,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,2.89,0.0,0.0,0.0,0.0,,0.0,0.0,,
2026,p2105007,2105007,橋本 達弥,DeNA,セ,35,右投,False,6,6.2,20,30,146,3,0,9,8,0,1,1,1,0,0,0,0,1,1,1.35,3.79,1.65,12.15,10.8,0.0,1.12,0.3,0.267,0.909,1.0
2026,p2104341,2104341,武田 陸玖,DeNA,セ,33,左投,False,1,2,6,13,73,2,0,1,4,0,2,1,0,1,0,0,0,0,0,4.5,7.89,3.0,4.5,18.0,0.0,0.25,0.077,0.308,0.667,0.0
2026,p1600116,1600116,浜地 真澄,DeNA,セ,52,右投,False,11,11,33,39,147,6,0,7,1,0,2,0,0,0,0,7,7,0,7,0.0,1.89,0.64,5.73,0.82,0.0,7.0,0.179,0.026,0.714,
2026,p2100109,2100109,深沢 鳳介,DeNA,セ,43,右投,False,6,32.1,97,135,533,33,1,20,8,1,15,10,3,1,0,0,0,0,0,2.78,2.89,1.27,5.57,2.23,0.28,2.5,0.148,0.059,0.665,0.75
2026,p2105232,2105232,片山 皓心,DeNA,セ,47,左投,False,3,13.2,41,64,241,15,1,13,7,1,8,8,2,1,0,0,0,0,0,5.27,3.69,1.61,8.56,4.61,0.66,1.86,0.203,0.109,0.694,0.667
