season,team,mini,league,games,wins,losses,runs,runs_allowed,run_diff,hits,hr,bip,bip_outs,der,avg,obp,slg,ops,iso,babip,bb_pct,k_pct,bb_k,tb,singles,woba_est,wraa_est,wrc_est,wrc_plus_est,rc,rc27,xr,xr27,gpa,seca,ta,wsb,ubr_est,bsr_est,p_innings,p_outs,p_batters_faced,p_hits_allowed,p_hr_allowed,p_so,p_bb,p_hbp,p_runs_allowed,p_earned_runs,p_era,p_fip,p_whip,p_k9,p_bb9,p_hr9,p_k_bb,p_k_pct,p_bb_pct,p_lob_pct_est,p_win_pct,p_hp
2026,DeNA,De,セ,127,0,0,495,462,33,1055,110,3231,2279,0.705,0.248,0.311,0.374,0.685,0.126,0.294,0.071,0.201,0.35,1653,766,0.304,57.3,508.82,113.0,515.28,3.96,511.65,3.94,0.233,0.225,0.615,0.2,-10.4,-10.2,1052.2,3158,4439,962,85,958,345,38,435,392,3.35,3.13,1.24,8.19,2.95,0.73,2.78,0.216,0.078,0.742,0.483,147
2026,阪神,神,セ,124,0,0,454,385,69,1010,111,3075,2164,0.704,0.246,0.316,0.369,0.685,0.123,0.301,0.08,0.223,0.36,1516,735,0.305,58.44,486.84,114.0,481.83,3.92,491.26,3.99,0.234,0.237,0.627,2.0,-6.0,-4.0,1099,3297,4514,975,96,990,280,38,385,348,2.85,3.01,1.14,8.11,2.29,0.79,3.54,0.219,0.062,0.784,0.561,102
2026,巨人,巨,セ,128,0,0,437,397,40,989,93,3148,2249,0.714,0.235,0.296,0.347,0.643,0.112,0.293,0.071,0.23,0.31,1462,715,0.287,-14.49,416.21,97.0,435.48,3.43,442.13,3.49,0.22,0.214,0.579,3.4,-6.0,-2.6,1144.2,3434,4742,963,86,1042,388,58,397,361,2.84,3.13,1.18,8.19,3.05,0.68,2.69,0.22,0.082,0.785,0.556,168
2026,中日,中,セ,130,0,0,431,445,-14,972,108,3308,2350,0.71,0.229,0.301,0.35,0.651,0.121,0.282,0.083,0.23,0.36,1488,690,0.29,-1.79,440.61,100.0,449.98,3.49,464.3,3.6,0.223,0.234,0.588,2.8,-4.4,-1.6,1150.2,3452,4838,1056,108,1019,366,36,445,416,3.25,3.31,1.24,7.97,2.86,0.84,2.78,0.211,0.076,0.775,0.422,93
2026,ヤクルト,ヤ,セ,126,0,0,398,488,-90,989,73,3177,2251,0.709,0.237,0.298,0.334,0.632,0.097,0.292,0.074,0.215,0.34,1408,740,0.282,-33.15,394.8,92.0,421.57,3.37,425.86,3.4,0.218,0.203,0.564,8.6,-4.4,4.2,1098.1,3295,4676,1007,119,973,357,55,488,442,3.62,3.57,1.24,7.97,2.93,0.98,2.73,0.208,0.076,0.743,0.447,108
2026,広島,広,セ,123,0,0,366,457,-91,918,78,3228,2283,0.707,0.225,0.288,0.321,0.609,0.096,0.268,0.075,0.199,0.38,1314,697,0.273,-66.5,354.54,84.0,381.02,3.06,398.96,3.2,0.21,0.199,0.541,1.6,-5.2,-3.6,1106.1,3319,4662,1017,84,949,355,45,457,425,3.46,3.17,1.24,7.72,2.89,0.68,2.67,0.204,0.076,0.739,0.42,122
2026,ソフトバンク,ソ,パ,128,0,0,624,411,213,1123,139,3183,2280,0.716,0.258,0.336,0.411,0.747,0.153,0.303,0.095,0.201,0.47,1723,738,0.329,105.54,593.3,122.0,582.64,4.76,600.49,4.91,0.254,0.287,0.718,9.0,-6.8,2.2,1224.1,3673,5062,1056,120,1144,380,59,438,399,2.93,3.26,1.17,8.41,2.79,0.88,3.01,0.226,0.075,0.797,0.639,130
2026,日本ハム,日,パ,130,0,0,536,474,62,1085,160,3327,2366,0.711,0.249,0.312,0.409,0.721,0.16,0.29,0.074,0.213,0.35,1785,728,0.317,54.31,548.57,111.0,560.22,4.35,564.81,4.38,0.243,0.265,0.669,3.8,-2.8,1.0,1157.1,3472,4812,1046,120,1000,326,38,474,428,3.33,3.34,1.19,7.78,2.54,0.93,3.07,0.208,0.068,0.754,0.559,115
2026,西武,西,パ,130,0,0,464,416,48,1091,95,3288,2387,0.726,0.248,0.305,0.365,0.67,0.117,0.289,0.066,0.182,0.36,1604,787,0.298,-26.06,469.42,95.0,492.5,3.78,495.22,3.8,0.229,0.209,0.595,0.6,-6.0,-5.4,1178.2,3536,4792,967,87,1014,384,28,416,372,2.84,3.07,1.15,7.74,2.93,0.66,2.64,0.212,0.08,0.766,0.579,140
2026,オリックス,オ,パ,130,0,0,447,539,-92,1046,83,3374,2349,0.696,0.244,0.306,0.354,0.66,0.11,0.288,0.074,0.184,0.4,1514,760,0.294,-42.17,441.73,91.0,465.87,3.65,461.06,3.61,0.226,0.203,0.578,-3.4,-9.2,-12.6,1141,3423,4884,1129,111,954,377,57,539,495,3.9,3.51,1.32,7.52,2.97,0.88,2.53,0.195,0.077,0.727,0.477,127
2026,ロッテ,ロ,パ,124,0,0,439,511,-72,975,112,3289,2377,0.723,0.238,0.298,0.362,0.66,0.124,0.285,0.068,0.217,0.31,1506,708,0.293,-42.41,422.5,91.0,450.03,3.66,452.76,3.68,0.225,0.218,0.586,2.0,-6.0,-4.0,1085,3255,4640,1023,122,827,360,55,511,467,3.87,3.86,1.27,6.86,2.99,1.01,2.3,0.178,0.078,0.732,0.467,123
2026,楽天,楽,パ,126,0,0,412,513,-101,995,90,3222,2259,0.701,0.239,0.303,0.352,0.655,0.113,0.288,0.078,0.206,0.38,1462,725,0.292,-48.52,421.16,90.0,445.86,3.57,440.83,3.53,0.224,0.215,0.58,1.4,-9.2,-7.8,1108.2,3326,4731,1068,114,956,380,55,513,467,3.79,3.57,1.31,7.76,3.08,0.93,2.52,0.202,0.08,0.737,0.376,98
