シーズン,集計基準日,選手名,球団,背番号,守備位置,試合数,打席数,打数,安打,本塁打,打点,盗塁,打率,出塁率,長打率,OPS,wRC+推定,W-Impact,直近5試合OPS,一軍登録日数,サンプル不足フラグ,データの説明
2026,2026-08-01,佐野 恵太,DeNA,7,一,90,377,337,88,5,35,0,0.261,0.34,0.365,0.705,127.0,111.5,0.512987012987013,129,いいえ,シーズン累計の打撃成績。直近値は出場した直近5試合。
2026,2026-08-01,度会 隆輝,DeNA,4,右,85,290,266,74,6,28,3,0.278,0.336,0.398,0.734,136.0,119.0,0.5641025641025641,129,いいえ,シーズン累計の打撃成績。直近値は出場した直近5試合。
2026,2026-08-01,勝又 温史,DeNA,28,左,76,287,273,84,3,32,3,0.308,0.333,0.381,0.714,125.0,114.5,0.40909090909090906,113,いいえ,シーズン累計の打撃成績。直近値は出場した直近5試合。
2026,2026-08-01,蝦名 達夫,DeNA,61,中,77,283,255,61,4,21,5,0.239,0.312,0.333,0.645,104.0,108.0,0.48830409356725146,123,いいえ,シーズン累計の打撃成績。直近値は出場した直近5試合。
2026,2026-08-01,牧 秀悟,DeNA,2,二,59,262,229,66,17,46,2,0.288,0.374,0.563,0.937,209.0,131.2,0.9407114624505929,88,いいえ,シーズン累計の打撃成績。直近値は出場した直近5試合。
2026,2026-08-01,宮﨑 敏郎,DeNA,51,三,70,252,225,61,8,28,0,0.271,0.345,0.413,0.758,146.0,112.0,0.9714285714285714,129,いいえ,シーズン累計の打撃成績。直近値は出場した直近5試合。
2026,2026-08-01,筒香 嘉智,DeNA,25,三,57,222,188,45,7,26,0,0.239,0.347,0.404,0.751,142.0,113.5,0.7857142857142857,106,いいえ,シーズン累計の打撃成績。直近値は出場した直近5試合。
2026,2026-08-01,松尾 汐恩,DeNA,5,捕,62,219,199,51,4,14,1,0.256,0.317,0.372,0.689,112.0,107.4,1.0546218487394958,129,いいえ,シーズン累計の打撃成績。直近値は出場した直近5試合。
2026,2026-08-01,山本 祐大,DeNA,50,捕,46,168,145,38,3,19,0,0.262,0.359,0.372,0.731,141.0,113.6,0.5718954248366013,82,いいえ,シーズン累計の打撃成績。直近値は出場した直近5試合。
2026,2026-08-01,ヒュンメル,DeNA,99,打,59,148,129,27,5,18,0,0.209,0.304,0.364,0.668,111.0,106.6,0.625,,いいえ,シーズン累計の打撃成績。直近値は出場した直近5試合。
2026,2026-08-01,宮下 朝陽,DeNA,34,遊,40,131,123,30,4,16,2,0.244,0.285,0.374,0.659,90.0,110.7,0.6842105263157894,73,いいえ,シーズン累計の打撃成績。直近値は出場した直近5試合。
2026,2026-08-01,三森 大貴,DeNA,26,二,51,121,113,29,0,9,12,0.257,0.298,0.283,0.581,75.0,108.1,0.0,129,いいえ,シーズン累計の打撃成績。直近値は出場した直近5試合。
2026,2026-08-01,京田 陽太,DeNA,9,遊,43,111,103,25,1,11,1,0.243,0.291,0.311,0.602,84.0,107.0,0.5727272727272728,82,いいえ,シーズン累計の打撃成績。直近値は出場した直近5試合。
2026,2026-08-01,林 琢真,DeNA,00,二,38,102,92,23,1,16,4,0.25,0.3,0.38,0.68,106.0,113.3,1.2380952380952381,69,いいえ,シーズン累計の打撃成績。直近値は出場した直近5試合。
2026,2026-08-01,石上 泰輝,DeNA,44,遊,33,92,82,16,0,4,1,0.195,0.239,0.268,0.507,31.0,94.7,0.40404040404040403,74,いいえ,シーズン累計の打撃成績。直近値は出場した直近5試合。
