シーズン,集計基準日,試合日,試合ID,ビジター,ホーム,球場,ビジター得点,ホーム得点,勝者,試合状態,勝利投手,敗戦投手,セーブ投手,データの説明
2026,2026-08-06,2026-08-05,2021039230,日本ハム,ソフトバンク,みずほPayPay,5,7,ソフトバンク,試合終了,松本裕,島本,杉山,2026シーズンの収集済み全試合。
2026,2026-08-06,2026-08-05,2021039229,楽天,オリックス,京セラD大阪,1,3,オリックス,試合終了,エスピノーザ,瀧中,マチャド,2026シーズンの収集済み全試合。
2026,2026-08-06,2026-08-05,2021039228,西武,ロッテ,ZOZOマリン,0,8,ロッテ,試合終了,毛利,佐藤爽,,2026シーズンの収集済み全試合。
2026,2026-08-06,2026-08-05,2021039227,巨人,広島,マツダスタジアム,4,0,巨人,試合終了,井上,森,,2026シーズンの収集済み全試合。
2026,2026-08-06,2026-08-05,2021039226,ヤクルト,中日,バンテリンドーム,1,4,中日,試合終了,涌井,山野,松山,2026シーズンの収集済み全試合。
2026,2026-08-06,2026-08-05,2021039225,阪神,DeNA,横浜,7,11,DeNA,試合終了,東,髙橋,,2026シーズンの収集済み全試合。
2026,2026-08-06,2026-08-04,2021039224,日本ハム,ソフトバンク,京セラD大阪,0,1,ソフトバンク,試合終了,上沢,伊藤,杉山,2026シーズンの収集済み全試合。
2026,2026-08-06,2026-08-04,2021039223,西武,ロッテ,ZOZOマリン,3,5,ロッテ,試合終了,小島,平良,益田,2026シーズンの収集済み全試合。
2026,2026-08-06,2026-08-04,2021039222,巨人,広島,マツダスタジアム,3,4,広島,試合終了,遠藤,マルティネス,,2026シーズンの収集済み全試合。
2026,2026-08-06,2026-08-04,2021039221,ヤクルト,中日,バンテリンドーム,3,4,中日,試合終了,伊藤,キハダ,,2026シーズンの収集済み全試合。
2026,2026-08-06,2026-08-04,2021039220,阪神,DeNA,横浜,0,1,DeNA,試合終了,尾形,村上,レイノルズ,2026シーズンの収集済み全試合。
2026,2026-08-06,2026-08-03,2021039219,楽天,オリックス,東京ドーム,,,,,,,,2026シーズンの収集済み全試合。
2026,2026-08-06,2026-08-02,2021039218,オリックス,西武,ベルーナドーム,1,5,西武,試合終了,武内,髙島,,2026シーズンの収集済み全試合。
2026,2026-08-06,2026-08-02,2021039217,ソフトバンク,楽天,楽天モバイル,10,6,ソフトバンク,試合終了,前田悠,古謝,,2026シーズンの収集済み全試合。
2026,2026-08-06,2026-08-02,2021039216,ロッテ,日本ハム,エスコンF,0,3,日本ハム,試合終了,有原,ジャクソン,,2026シーズンの収集済み全試合。
