シーズン,集計基準日,打者名,打者球団,投手名,投手球団,対戦打席,対戦打数,安打,本塁打,四球,三振,打率,出塁率,長打率,OPS,サンプル不足フラグ,データの説明
2026,2026-08-09,筒香 嘉智,DeNA,中西 聖輝,中日,8,8,3,1,0,3,0.375,0.375,0.875,1.25,はい,当該打者と投手のシーズン対戦成績。打席数が少ない値の解釈に注意。
2026,2026-08-09,筒香 嘉智,DeNA,竹丸 和幸,巨人,8,7,2,0,1,4,0.2857,0.375,0.2857,0.6607,はい,当該打者と投手のシーズン対戦成績。打席数が少ない値の解釈に注意。
2026,2026-08-09,筒香 嘉智,DeNA,マラー,中日,6,6,1,0,0,0,0.1667,0.1667,0.3333,0.5,はい,当該打者と投手のシーズン対戦成績。打席数が少ない値の解釈に注意。
2026,2026-08-09,筒香 嘉智,DeNA,井上 温大,巨人,6,5,0,0,1,2,0.0,0.1667,0.0,0.1667,はい,当該打者と投手のシーズン対戦成績。打席数が少ない値の解釈に注意。
2026,2026-08-09,筒香 嘉智,DeNA,斉藤 優汰,広島,6,4,2,0,2,0,0.5,0.6667,0.75,1.4167,はい,当該打者と投手のシーズン対戦成績。打席数が少ない値の解釈に注意。
2026,2026-08-09,筒香 嘉智,DeNA,村上 頌樹,阪神,6,6,0,0,0,1,0.0,0.0,0.0,0.0,はい,当該打者と投手のシーズン対戦成績。打席数が少ない値の解釈に注意。
2026,2026-08-09,筒香 嘉智,DeNA,森下 暢仁,広島,6,5,2,1,1,2,0.4,0.5,1.2,1.7,はい,当該打者と投手のシーズン対戦成績。打席数が少ない値の解釈に注意。
2026,2026-08-09,筒香 嘉智,DeNA,高梨 裕稔,ヤクルト,6,6,2,0,0,1,0.3333,0.3333,0.5,0.8333,はい,当該打者と投手のシーズン対戦成績。打席数が少ない値の解釈に注意。
2026,2026-08-09,筒香 嘉智,DeNA,ウィットリー,巨人,5,3,2,1,1,0,0.6667,0.6,2.0,2.6,はい,当該打者と投手のシーズン対戦成績。打席数が少ない値の解釈に注意。
2026,2026-08-09,筒香 嘉智,DeNA,ハワード,巨人,5,5,2,0,0,1,0.4,0.4,0.6,1.0,はい,当該打者と投手のシーズン対戦成績。打席数が少ない値の解釈に注意。
