シーズン,集計基準日,選手名,球団,背番号,投手役割,登板数,投球回,打者数,勝,敗,セーブ,ホールド,防御率,FIP,WHIP,奪三振率,与四球率,W-Impact,直近5登板W-Impact,一軍登録日数,サンプル不足フラグ,データの説明
2026,2026-09-08,レイノルズ,DeNA,62,抑え,53,54.1,213,4,1,14,26,1.33,1.64,0.83,11.93,2.48,112.4,102.0,,いいえ,シーズン累計の投手成績。直近値は登板した直近5試合。
2026,2026-09-08,中川 虎大,DeNA,64,中継ぎ,45,42.1,169,5,5,0,21,2.34,2.44,1.13,11.27,3.61,125.9,114.7,140,いいえ,シーズン累計の投手成績。直近値は登板した直近5試合。
2026,2026-09-08,伊勢 大夢,DeNA,13,中継ぎ,43,40,167,2,2,0,19,2.48,3.15,1.27,8.78,2.92,114.7,114.4,138,いいえ,シーズン累計の投手成績。直近値は登板した直近5試合。
2026,2026-09-08,ルイーズ,DeNA,49,中継ぎ,42,38.1,162,1,2,0,14,3.29,3.13,1.23,6.57,3.05,109.4,101.2,,いいえ,シーズン累計の投手成績。直近値は登板した直近5試合。
2026,2026-09-08,坂本 裕哉,DeNA,20,中継ぎ,32,30.1,140,0,1,0,4,3.26,4.96,1.52,7.12,4.45,93.0,81.6,99,いいえ,シーズン累計の投手成績。直近値は登板した直近5試合。
2026,2026-09-08,宮城 滝太,DeNA,65,中継ぎ,30,28.2,119,0,3,0,5,3.45,3.17,1.19,8.79,2.51,109.4,97.9,109,いいえ,シーズン累計の投手成績。直近値は登板した直近5試合。
2026,2026-09-08,マルセリーノ,DeNA,98,中継ぎ,26,28.1,136,1,1,0,5,5.08,3.98,1.69,9.53,4.45,100.9,94.3,,いいえ,シーズン累計の投手成績。直近値は登板した直近5試合。
2026,2026-09-08,山﨑 康晃,DeNA,19,抑え,23,20.2,92,0,3,14,2,6.1,4.32,1.45,9.58,4.35,82.6,87.6,99,いいえ,シーズン累計の投手成績。直近値は登板した直近5試合。
2026,2026-09-08,浜地 真澄,DeNA,52,中継ぎ,22,21.2,79,0,0,0,14,0.83,2.36,0.69,5.4,0.42,115.5,115.3,59,いいえ,シーズン累計の投手成績。直近値は登板した直近5試合。
2026,2026-09-08,東 克樹,DeNA,11,先発,21,137,531,10,5,0,0,2.3,2.75,0.92,6.77,1.18,115.5,118.1,165,いいえ,シーズン累計の投手成績。直近値は登板した直近5試合。
2026,2026-09-08,吉野 光樹,DeNA,24,中継ぎ,20,20,89,0,1,0,3,3.15,3.82,1.4,8.1,4.05,102.2,114.3,102,いいえ,シーズン累計の投手成績。直近値は登板した直近5試合。
