シーズン,集計基準日,選手名,球団,背番号,守備位置,一軍登録状況,一軍登録日数,直近登録日,直近抹消日,データの説明
2026,2026-08-09,三森 大貴,DeNA,26,内,登録中,136,2026-08-08,,NPB出場選手登録の取得済み日を集計。未取得日は登録日数に含めない。
2026,2026-08-09,中川 虎大,DeNA,64,投,登録中,111,2026-08-08,2026-07-18,NPB出場選手登録の取得済み日を集計。未取得日は登録日数に含めない。
2026,2026-08-09,京田 陽太,DeNA,9,内,登録中,89,2026-08-08,2026-06-14,NPB出場選手登録の取得済み日を集計。未取得日は登録日数に含めない。
2026,2026-08-09,伊勢 大夢,DeNA,13,投,登録中,109,2026-08-08,2026-05-04,NPB出場選手登録の取得済み日を集計。未取得日は登録日数に含めない。
2026,2026-08-09,佐野 恵太,DeNA,7,外,登録中,136,2026-08-08,,NPB出場選手登録の取得済み日を集計。未取得日は登録日数に含めない。
2026,2026-08-09,勝又 温史,DeNA,28,外,登録中,120,2026-08-08,,NPB出場選手登録の取得済み日を集計。未取得日は登録日数に含めない。
2026,2026-08-09,古市 尊,DeNA,60,捕,登録中,48,2026-08-08,2026-06-05,NPB出場選手登録の取得済み日を集計。未取得日は登録日数に含めない。
2026,2026-08-09,吉野 光樹,DeNA,24,投,登録中,73,2026-08-08,2026-05-31,NPB出場選手登録の取得済み日を集計。未取得日は登録日数に含めない。
2026,2026-08-09,宮下 朝陽,DeNA,34,内,登録中,80,2026-08-08,2026-05-24,NPB出場選手登録の取得済み日を集計。未取得日は登録日数に含めない。
2026,2026-08-09,宮﨑 敏郎,DeNA,51,内,登録中,136,2026-08-08,,NPB出場選手登録の取得済み日を集計。未取得日は登録日数に含めない。
2026,2026-08-09,尾形 崇斗,DeNA,36,投,登録中,109,2026-08-08,2026-05-12,NPB出場選手登録の取得済み日を集計。未取得日は登録日数に含めない。
2026,2026-08-09,平良 拳太郎,DeNA,59,投,登録中,75,2026-08-08,2026-07-21,NPB出場選手登録の取得済み日を集計。未取得日は登録日数に含めない。
2026,2026-08-09,度会 隆輝,DeNA,4,外,登録中,136,2026-08-08,,NPB出場選手登録の取得済み日を集計。未取得日は登録日数に含めない。
2026,2026-08-09,戸柱 恭孝,DeNA,10,捕,登録中,136,2026-08-08,,NPB出場選手登録の取得済み日を集計。未取得日は登録日数に含めない。
2026,2026-08-09,東 克樹,DeNA,11,投,登録中,136,2026-08-08,,NPB出場選手登録の取得済み日を集計。未取得日は登録日数に含めない。
2026,2026-08-09,松尾 汐恩,DeNA,5,捕,登録中,136,2026-08-08,,NPB出場選手登録の取得済み日を集計。未取得日は登録日数に含めない。
2026,2026-08-09,松本 凌人,DeNA,38,投,登録中,37,2026-08-08,,NPB出場選手登録の取得済み日を集計。未取得日は登録日数に含めない。
2026,2026-08-09,林 琢真,DeNA,00,内,登録中,76,2026-08-08,2026-05-16,NPB出場選手登録の取得済み日を集計。未取得日は登録日数に含めない。
2026,2026-08-09,柴田 竜拓,DeNA,31,内,登録中,112,2026-08-08,,NPB出場選手登録の取得済み日を集計。未取得日は登録日数に含めない。
2026,2026-08-09,浜地 真澄,DeNA,52,投,登録中,30,2026-08-08,,NPB出場選手登録の取得済み日を集計。未取得日は登録日数に含めない。
2026,2026-08-09,牧 秀悟,DeNA,2,内,登録中,95,2026-08-08,2026-07-31,NPB出場選手登録の取得済み日を集計。未取得日は登録日数に含めない。
2026,2026-08-09,神里 和毅,DeNA,8,外,登録中,136,2026-08-08,,NPB出場選手登録の取得済み日を集計。未取得日は登録日数に含めない。
2026,2026-08-09,筒香 嘉智,DeNA,25,内,登録中,113,2026-08-08,2026-04-19,NPB出場選手登録の取得済み日を集計。未取得日は登録日数に含めない。
2026,2026-08-09,篠木 健太郎,DeNA,30,投,登録中,91,2026-08-08,2026-05-17,NPB出場選手登録の取得済み日を集計。未取得日は登録日数に含めない。
2026,2026-08-09,関根 大気,DeNA,63,外,登録中,8,2026-08-08,,NPB出場選手登録の取得済み日を集計。未取得日は登録日数に含めない。
2026,2026-08-09,馬場 皐輔,DeNA,96,投,登録中,2,2026-08-08,,NPB出場選手登録の取得済み日を集計。未取得日は登録日数に含めない。
2026,2026-08-09,Ｈ．マルセリーノ,DeNA,98,投,登録中,99,2026-08-08,2026-05-07,NPB出場選手登録の取得済み日を集計。未取得日は登録日数に含めない。
2026,2026-08-09,Ｊ．エンカーナシオン,DeNA,69,外,登録中,38,2026-08-08,,NPB出場選手登録の取得済み日を集計。未取得日は登録日数に含めない。
2026,2026-08-09,Ｊ．ルイーズ,DeNA,49,投,登録中,91,2026-08-08,2026-07-11,NPB出場選手登録の取得済み日を集計。未取得日は登録日数に含めない。
2026,2026-08-09,Ｓ．レイノルズ,DeNA,62,投,登録中,136,2026-08-08,,NPB出場選手登録の取得済み日を集計。未取得日は登録日数に含めない。
2026,2026-08-09,中川 颯,DeNA,53,投,登録外,52,2026-08-01,2026-08-02,NPB出場選手登録の取得済み日を集計。未取得日は登録日数に含めない。
2026,2026-08-09,宮城 滝太,DeNA,65,投,登録外,109,2026-08-01,2026-08-02,NPB出場選手登録の取得済み日を集計。未取得日は登録日数に含めない。
2026,2026-08-09,岩田 将貴,DeNA,68,投,登録外,86,2026-08-01,2026-08-02,NPB出場選手登録の取得済み日を集計。未取得日は登録日数に含めない。
2026,2026-08-09,梶原 昂希,DeNA,58,外,登録外,55,2026-07-31,2026-08-01,NPB出場選手登録の取得済み日を集計。未取得日は登録日数に含めない。
2026,2026-08-09,深沢 鳳介,DeNA,43,投,登録外,14,2026-08-02,2026-08-03,NPB出場選手登録の取得済み日を集計。未取得日は登録日数に含めない。
2026,2026-08-09,片山 皓心,DeNA,47,投,登録外,2,2026-07-19,2026-07-20,NPB出場選手登録の取得済み日を集計。未取得日は登録日数に含めない。
