シーズン,集計基準日,選手名,球団,背番号,守備位置,一軍登録状況,一軍登録日数,直近登録日,直近抹消日,データの説明
2026,2026-08-06,三森 大貴,DeNA,26,内,登録中,132,2026-08-04,,NPB出場選手登録の取得済み日を集計。未取得日は登録日数に含めない。
2026,2026-08-06,中川 虎大,DeNA,64,投,登録中,107,2026-08-04,2026-07-18,NPB出場選手登録の取得済み日を集計。未取得日は登録日数に含めない。
2026,2026-08-06,京田 陽太,DeNA,9,内,登録中,85,2026-08-04,2026-06-14,NPB出場選手登録の取得済み日を集計。未取得日は登録日数に含めない。
2026,2026-08-06,伊勢 大夢,DeNA,13,投,登録中,105,2026-08-04,2026-05-04,NPB出場選手登録の取得済み日を集計。未取得日は登録日数に含めない。
2026,2026-08-06,佐野 恵太,DeNA,7,外,登録中,132,2026-08-04,,NPB出場選手登録の取得済み日を集計。未取得日は登録日数に含めない。
2026,2026-08-06,勝又 温史,DeNA,28,外,登録中,116,2026-08-04,,NPB出場選手登録の取得済み日を集計。未取得日は登録日数に含めない。
2026,2026-08-06,古市 尊,DeNA,60,捕,登録中,44,2026-08-04,2026-06-05,NPB出場選手登録の取得済み日を集計。未取得日は登録日数に含めない。
2026,2026-08-06,吉野 光樹,DeNA,24,投,登録中,69,2026-08-04,2026-05-31,NPB出場選手登録の取得済み日を集計。未取得日は登録日数に含めない。
2026,2026-08-06,宮下 朝陽,DeNA,34,内,登録中,76,2026-08-04,2026-05-24,NPB出場選手登録の取得済み日を集計。未取得日は登録日数に含めない。
2026,2026-08-06,宮﨑 敏郎,DeNA,51,内,登録中,132,2026-08-04,,NPB出場選手登録の取得済み日を集計。未取得日は登録日数に含めない。
2026,2026-08-06,尾形 崇斗,DeNA,36,投,登録中,105,2026-08-04,2026-05-12,NPB出場選手登録の取得済み日を集計。未取得日は登録日数に含めない。
2026,2026-08-06,平良 拳太郎,DeNA,59,投,登録中,71,2026-08-04,2026-07-21,NPB出場選手登録の取得済み日を集計。未取得日は登録日数に含めない。
2026,2026-08-06,度会 隆輝,DeNA,4,外,登録中,132,2026-08-04,,NPB出場選手登録の取得済み日を集計。未取得日は登録日数に含めない。
2026,2026-08-06,戸柱 恭孝,DeNA,10,捕,登録中,132,2026-08-04,,NPB出場選手登録の取得済み日を集計。未取得日は登録日数に含めない。
2026,2026-08-06,東 克樹,DeNA,11,投,登録中,132,2026-08-04,,NPB出場選手登録の取得済み日を集計。未取得日は登録日数に含めない。
2026,2026-08-06,松尾 汐恩,DeNA,5,捕,登録中,132,2026-08-04,,NPB出場選手登録の取得済み日を集計。未取得日は登録日数に含めない。
2026,2026-08-06,松本 凌人,DeNA,38,投,登録中,33,2026-08-04,,NPB出場選手登録の取得済み日を集計。未取得日は登録日数に含めない。
2026,2026-08-06,林 琢真,DeNA,00,内,登録中,72,2026-08-04,2026-05-16,NPB出場選手登録の取得済み日を集計。未取得日は登録日数に含めない。
2026,2026-08-06,柴田 竜拓,DeNA,31,内,登録中,108,2026-08-04,,NPB出場選手登録の取得済み日を集計。未取得日は登録日数に含めない。
2026,2026-08-06,浜地 真澄,DeNA,52,投,登録中,26,2026-08-04,,NPB出場選手登録の取得済み日を集計。未取得日は登録日数に含めない。
2026,2026-08-06,牧 秀悟,DeNA,2,内,登録中,91,2026-08-04,2026-07-31,NPB出場選手登録の取得済み日を集計。未取得日は登録日数に含めない。
2026,2026-08-06,神里 和毅,DeNA,8,外,登録中,132,2026-08-04,,NPB出場選手登録の取得済み日を集計。未取得日は登録日数に含めない。
2026,2026-08-06,筒香 嘉智,DeNA,25,内,登録中,109,2026-08-04,2026-04-19,NPB出場選手登録の取得済み日を集計。未取得日は登録日数に含めない。
2026,2026-08-06,篠木 健太郎,DeNA,30,投,登録中,87,2026-08-04,2026-05-17,NPB出場選手登録の取得済み日を集計。未取得日は登録日数に含めない。
2026,2026-08-06,若松 尚輝,DeNA,39,投,登録中,89,2026-08-04,,NPB出場選手登録の取得済み日を集計。未取得日は登録日数に含めない。
2026,2026-08-06,関根 大気,DeNA,63,外,登録中,4,2026-08-04,,NPB出場選手登録の取得済み日を集計。未取得日は登録日数に含めない。
2026,2026-08-06,Ｈ．マルセリーノ,DeNA,98,投,登録中,95,2026-08-04,2026-05-07,NPB出場選手登録の取得済み日を集計。未取得日は登録日数に含めない。
2026,2026-08-06,Ｊ．エンカーナシオン,DeNA,69,外,登録中,34,2026-08-04,,NPB出場選手登録の取得済み日を集計。未取得日は登録日数に含めない。
2026,2026-08-06,Ｊ．ルイーズ,DeNA,49,投,登録中,87,2026-08-04,2026-07-11,NPB出場選手登録の取得済み日を集計。未取得日は登録日数に含めない。
2026,2026-08-06,Ｓ．レイノルズ,DeNA,62,投,登録中,132,2026-08-04,,NPB出場選手登録の取得済み日を集計。未取得日は登録日数に含めない。
2026,2026-08-06,中川 颯,DeNA,53,投,登録外,52,2026-08-01,2026-08-02,NPB出場選手登録の取得済み日を集計。未取得日は登録日数に含めない。
2026,2026-08-06,九鬼 隆平,DeNA,95,捕,登録外,52,2026-07-04,2026-07-05,NPB出場選手登録の取得済み日を集計。未取得日は登録日数に含めない。
2026,2026-08-06,井上 朋也,DeNA,40,内,登録外,9,2026-06-03,2026-06-04,NPB出場選手登録の取得済み日を集計。未取得日は登録日数に含めない。
2026,2026-08-06,入江 大生,DeNA,22,投,登録外,22,2026-06-23,2026-06-24,NPB出場選手登録の取得済み日を集計。未取得日は登録日数に含めない。
2026,2026-08-06,加藤 響,DeNA,37,内,登録外,3,2026-06-21,2026-06-22,NPB出場選手登録の取得済み日を集計。未取得日は登録日数に含めない。
2026,2026-08-06,坂本 裕哉,DeNA,20,投,登録外,87,2026-06-20,2026-06-21,NPB出場選手登録の取得済み日を集計。未取得日は登録日数に含めない。
2026,2026-08-06,堀岡 隼人,DeNA,92,投,登録外,35,2026-06-05,2026-06-06,NPB出場選手登録の取得済み日を集計。未取得日は登録日数に含めない。
2026,2026-08-06,宮城 滝太,DeNA,65,投,登録外,109,2026-08-01,2026-08-02,NPB出場選手登録の取得済み日を集計。未取得日は登録日数に含めない。
2026,2026-08-06,小田 康一郎,DeNA,3,内,登録外,8,2026-06-14,2026-06-15,NPB出場選手登録の取得済み日を集計。未取得日は登録日数に含めない。
2026,2026-08-06,山﨑 康晃,DeNA,19,投,登録外,99,2026-07-02,2026-07-03,NPB出場選手登録の取得済み日を集計。未取得日は登録日数に含めない。
2026,2026-08-06,岩田 将貴,DeNA,68,投,登録外,86,2026-08-01,2026-08-02,NPB出場選手登録の取得済み日を集計。未取得日は登録日数に含めない。
2026,2026-08-06,島田 舜也,DeNA,15,投,登録外,18,2026-05-29,2026-05-30,NPB出場選手登録の取得済み日を集計。未取得日は登録日数に含めない。
2026,2026-08-06,庄司 陽斗,DeNA,93,投,登録外,1,2026-06-06,2026-06-07,NPB出場選手登録の取得済み日を集計。未取得日は登録日数に含めない。
2026,2026-08-06,成瀬 脩人,DeNA,48,内,登録外,36,2026-05-30,2026-05-31,NPB出場選手登録の取得済み日を集計。未取得日は登録日数に含めない。
2026,2026-08-06,梶原 昂希,DeNA,58,外,登録外,55,2026-07-31,2026-08-01,NPB出場選手登録の取得済み日を集計。未取得日は登録日数に含めない。
2026,2026-08-06,橋本 達弥,DeNA,35,投,登録外,27,2026-04-21,2026-04-22,NPB出場選手登録の取得済み日を集計。未取得日は登録日数に含めない。
2026,2026-08-06,武田 陸玖,DeNA,33,投,登録外,1,2026-05-30,2026-05-31,NPB出場選手登録の取得済み日を集計。未取得日は登録日数に含めない。
2026,2026-08-06,深沢 鳳介,DeNA,43,投,登録外,14,2026-08-02,2026-08-03,NPB出場選手登録の取得済み日を集計。未取得日は登録日数に含めない。
2026,2026-08-06,片山 皓心,DeNA,47,投,登録外,2,2026-07-19,2026-07-20,NPB出場選手登録の取得済み日を集計。未取得日は登録日数に含めない。
2026,2026-08-06,益子 京右,DeNA,32,捕,登録外,4,2026-07-10,2026-07-11,NPB出場選手登録の取得済み日を集計。未取得日は登録日数に含めない。
2026,2026-08-06,石上 泰輝,DeNA,44,内,登録外,74,2026-07-14,2026-07-15,NPB出場選手登録の取得済み日を集計。未取得日は登録日数に含めない。
2026,2026-08-06,石田 健大,DeNA,14,投,登録外,11,2026-05-12,2026-05-13,NPB出場選手登録の取得済み日を集計。未取得日は登録日数に含めない。
2026,2026-08-06,石田 裕太郎,DeNA,54,投,登録外,108,2026-07-14,2026-07-15,NPB出場選手登録の取得済み日を集計。未取得日は登録日数に含めない。
2026,2026-08-06,竹田 祐,DeNA,12,投,登録外,12,2026-05-19,2026-05-20,NPB出場選手登録の取得済み日を集計。未取得日は登録日数に含めない。
2026,2026-08-06,藤浪 晋太郎,DeNA,27,投,登録外,2,2026-07-22,2026-07-23,NPB出場選手登録の取得済み日を集計。未取得日は登録日数に含めない。
2026,2026-08-06,蝦名 達夫,DeNA,61,外,登録外,123,2026-07-26,2026-07-27,NPB出場選手登録の取得済み日を集計。未取得日は登録日数に含めない。
2026,2026-08-06,高見澤 郁魅,DeNA,66,内,登録外,1,2026-07-31,2026-08-01,NPB出場選手登録の取得済み日を集計。未取得日は登録日数に含めない。
2026,2026-08-06,Ａ．コックス,DeNA,42,投,登録外,8,2026-04-08,2026-04-09,NPB出場選手登録の取得済み日を集計。未取得日は登録日数に含めない。
2026,2026-08-06,Ｃ．ヒュンメル,DeNA,99,外,登録外,97,2026-06-30,2026-07-01,NPB出場選手登録の取得済み日を集計。未取得日は登録日数に含めない。
2026,2026-08-06,Ｄ．ビシエド,DeNA,66,内,登録外,54,2026-05-24,2026-05-25,NPB出場選手登録の取得済み日を集計。未取得日は登録日数に含めない。
2026,2026-08-06,Ｊ．デュプランティエ,DeNA,0,投,登録外,11,2026-04-19,2026-04-20,NPB出場選手登録の取得済み日を集計。未取得日は登録日数に含めない。
2026,2026-08-06,Ｏ．ビド,DeNA,42,投,登録外,1,2026-07-25,2026-07-26,NPB出場選手登録の取得済み日を集計。未取得日は登録日数に含めない。
