シーズン,集計基準日,リーグ,順位,球団,試合数,勝,敗,引分,勝率,ゲーム差,得点,失点,得失点差,本塁打,盗塁,チーム打率,チーム防御率,残り試合,データの説明
2026,2026-08-09,セ,1,阪神,100,55,44,1,0.556,-,374,322,52,82,52,0.245,2.94,43,NPB順位表の集計値。
2026,2026-08-09,セ,1,巨人,101,55,44,2,0.556,-,343,318,25,75,71,0.238,2.87,42,NPB順位表の集計値。
2026,2026-08-09,セ,3,DeNA,101,46,52,3,0.469,8.5,397,388,9,81,37,0.246,3.5,42,NPB順位表の集計値。
2026,2026-08-09,セ,4,ヤクルト,101,45,55,1,0.45,2,308,393,-85,61,66,0.231,3.62,42,NPB順位表の集計値。
2026,2026-08-09,セ,5,中日,103,44,58,1,0.431,2,349,345,4,79,38,0.229,3.19,40,NPB順位表の集計値。
2026,2026-08-09,セ,6,広島,98,38,56,4,0.404,2,289,352,-63,63,58,0.226,3.31,45,NPB順位表の集計値。
2026,2026-08-09,パ,1,ソフトバンク,101,64,36,1,0.64,M33,476,334,142,106,57,0.254,3.03,42,NPB順位表の集計値。
2026,2026-08-09,パ,2,日本ハム,105,59,46,0,0.562,7.5,421,370,51,127,51,0.251,3.21,38,NPB順位表の集計値。
2026,2026-08-09,パ,3,西武,104,56,45,3,0.554,1,370,346,24,77,44,0.246,2.93,39,NPB順位表の集計値。
2026,2026-08-09,パ,4,オリックス,103,50,51,2,0.495,6,354,407,-53,70,30,0.244,3.7,40,NPB順位表の集計値。
2026,2026-08-09,パ,5,ロッテ,98,46,49,3,0.484,1,350,377,-27,84,33,0.238,3.55,45,NPB順位表の集計値。
2026,2026-08-09,パ,6,楽天,99,38,60,1,0.388,9.5,318,397,-79,68,46,0.24,3.78,44,NPB順位表の集計値。
